11	332.5	1600	3.5694	0.18	4.70072	8.6692	2.38145
11.1	335.31	1600	3.57211	0.18	4.70337	8.67738	2.38071
11.2	338.13	1600	3.57483	0.18	4.70602	8.68556	2.37997
11.3	340.94	1600	3.57757	0.18	4.70866	8.69374	2.37922
11.4	343.75	1600	3.58031	0.18	4.71129	8.70192	2.37849
11.5	346.56	1600	3.58307	0.18	4.71391	8.71011	2.37775
11.6	349.38	1600	3.58584	0.18	4.71653	8.71829	2.37702
11.7	352.19	1600	3.58862	0.18	4.71915	8.72649	2.37628
11.8	355	1600	3.59142	0.18	4.72175	8.73469	2.37555
11.9	357.81	1600	3.59424	0.18	4.72436	8.74291	2.37482
12	360.62	1600	3.59707	0.18	4.72695	8.75113	2.3741
12.1	363.44	1600	3.59993	0.18	4.72955	8.75937	2.37337
12.2	366.25	1600	3.6028	0.18	4.73213	8.76763	2.37265
12.3	369.06	1600	3.6057	0.18	4.73472	8.7759	2.37193
12.4	371.88	1600	3.60863	0.18	4.7373	8.7842	2.37121
12.5	374.69	1600	3.61158	0.18	4.73987	8.79252	2.37049
12.6	377.5	1600	3.61456	0.18	4.74245	8.80086	2.36977
12.7	380.31	1600	3.61757	0.18	4.74502	8.80924	2.36905
12.8	383.12	1600	3.62062	0.18	4.74758	8.81764	2.36834
12.9	385.94	1600	3.62643	0.18	4.75748	8.83707	2.36665
13	388.75	1600	3.64604	0.18	4.80474	8.91253	2.36017
13.1	391.56	1600	3.66707	0.18	4.85638	8.99464	2.35347
13.2	394.38	1600	3.69005	0.18	4.91408	9.08592	2.34641
13.3	397.19	1600	3.71569	0.18	4.98019	9.18992	2.33881
13.4	400	1600	3.74502	0.18	5.0582	9.31186	2.33043
13.5	402.78	1600	3.75644	0.18	5.08497	9.35683	2.32736
13.6	405.56	1600	3.75958	0.18	5.08741	9.3653	2.32667
13.7	408.33	1600	3.76278	0.18	5.08984	9.37385	2.32599
13.8	411.11	1600	3.76579	0.18	5.0925	9.38224	2.32529
13.9	413.89	1600	3.7682	0.18	5.09569	9.39013	2.32457
14	416.67	1600	3.77062	0.18	5.0989	9.39803	2.32386
14.1	419.44	1600	3.77303	0.18	5.10214	9.40594	2.32314
14.2	422.22	1600	3.77545	0.18	5.10541	9.41387	2.32242
14.3	425	1600	3.77787	0.18	5.1087	9.42181	2.32171
14.4	427.78	1600	3.78029	0.18	5.11202	9.42977	2.32099
14.5	430.56	1600	3.78271	0.18	5.11538	9.43776	2.32027
14.6	433.33	1600	3.78515	0.18	5.11876	9.44576	2.31956
14.7	436.11	1600	3.78758	0.18	5.12218	9.45379	2.31884
14.8	438.89	1600	3.79002	0.18	5.12564	9.46184	2.31812
14.9	441.67	1600	3.79247	0.18	5.12912	9.46992	2.3174
15	444.44	1600	3.79493	0.18	5.13265	9.47803	2.31668
15.1	447.22	1600	3.79739	0.18	5.13621	9.48617	2.31596
15.2	450	1600	3.79986	0.18	5.13982	9.49434	2.31524
15.3	452.63	1600	3.80234	0.18	5.14346	9.50254	2.31452
15.4	455.26	1600	3.80484	0.18	5.14715	9.51078	2.31379
15.5	457.89	1600	3.80734	0.18	5.15088	9.51905	2.31307
15.6	460.53	1600	3.80985	0.18	5.15466	9.52736	2.31234
15.7	463.16	1600	3.81238	0.18	5.15849	9.53572	2.31162
15.8	465.79	1600	3.81492	0.18	5.16237	9.54411	2.31089
15.9	468.42	1600	3.81748	0.18	5.1663	9.55255	2.31016
16	471.05	1600	3.82005	0.18	5.17029	9.56104	2.30943
16.1	473.68	1600	3.82264	0.18	5.17434	9.56958	2.30869
16.2	476.32	1600	3.82525	0.18	5.17845	9.57816	2.30796
16.3	478.95	1600	3.82788	0.18	5.18262	9.5868	2.30722
16.4	481.58	1600	3.83053	0.18	5.18686	9.5955	2.30649
16.5	484.21	1600	3.8332	0.18	5.19117	9.60425	2.30575
16.6	486.84	1600	3.8359	0.18	5.19555	9.61307	2.30501
16.7	489.47	1600	3.83862	0.18	5.20001	9.62194	2.30426
16.8	492.11	1600	3.84138	0.18	5.20455	9.63089	2.30352
16.9	494.74	1600	3.84416	0.18	5.20917	9.63989	2.30277
