Agius et al. 2017. Hawaii Ps receiver functions.
Frequency, 0.05-0.2, Hz
Grid resolution, 1, degree
Minimum number of events, 5
LVL: Depth of negative peak above 410
lat, Lon, Depth peak LVL, Depth peak 410, TZT, Depth peak 660, Amp LVL/Amp 410, Amp LVL, Amp 660
11.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
