Pressure    Depth  Temperature   Density   Basalt       Vs         Vp        Entropy
 (GPa)       (km)     (K)       (g/cm^3)  Fraction    (km/s)     (km/s)     (J/(g.K))
 13.90     413.89    1500.00     3.75381   0.000     5.24141     9.53155     2.24952
 14.00     416.67    1500.00     3.75610   0.000     5.24363     9.53852     2.24885
 14.10     419.44    1500.00     3.75842   0.000     5.24586     9.54552     2.24818
 14.20     422.22    1500.00     3.76075   0.000     5.24808     9.55254     2.24751
 14.30     425.00    1500.00     3.76311   0.000     5.25031     9.55959     2.24685
 14.40     427.78    1500.00     3.76550   0.000     5.25255     9.56667     2.24618
 14.50     430.56    1500.00     3.76791   0.000     5.25479     9.57379     2.24552
 14.60     433.33    1500.00     3.77035   0.000     5.25704     9.58095     2.24486
 14.70     436.11    1500.00     3.77283   0.000     5.25930     9.58816     2.24420
 14.80     438.89    1500.00     3.77535   0.000     5.26157     9.59543     2.24354
 14.90     441.67    1500.00     3.77792   0.000     5.26386     9.60275     2.24288
 15.00     444.44    1500.00     3.78053   0.000     5.26615     9.61015     2.24223
 15.10     447.22    1500.00     3.78320   0.000     5.26847     9.61763     2.24157
 15.20     450.00    1500.00     3.78593   0.000     5.27080     9.62521     2.24092
 15.30     452.63    1500.00     3.78874   0.000     5.27316     9.63289     2.24027
 15.40     455.26    1500.00     3.79163   0.000     5.27554     9.64069     2.23962
 15.50     457.89    1500.00     3.79462   0.000     5.27794     9.64863     2.23897
 15.60     460.53    1500.00     3.79770   0.000     5.28036     9.65669     2.23832
 15.70     463.16    1500.00     3.80088   0.000     5.28272     9.66482     2.23768
 15.80     465.79    1500.00     3.80867   0.000     5.29428     9.68696     2.23574
 15.90     468.42    1500.00     3.81517   0.000     5.30761     9.70870     2.23359
 16.00     471.05    1500.00     3.81742   0.000     5.31210     9.71713     2.23266
 16.10     473.68    1500.00     3.81965   0.000     5.31645     9.72540     2.23175
 16.20     476.32    1500.00     3.82186   0.000     5.32068     9.73354     2.23085
 16.30     478.95    1500.00     3.82405   0.000     5.32479     9.74155     2.22997
 16.40     481.58    1500.00     3.82621   0.000     5.32879     9.74943     2.22910
 16.50     484.21    1500.00     3.82836   0.000     5.33269     9.75720     2.22825
 16.60     486.84    1500.00     3.83049   0.000     5.33649     9.76486     2.22741
 16.70     489.47    1500.00     3.83260   0.000     5.34020     9.77241     2.22658
 16.80     492.11    1500.00     3.83470   0.000     5.34382     9.77987     2.22576
 16.90     494.74    1500.00     3.83678   0.000     5.34737     9.78723     2.22496
